Sample ID,Cd,Cu,Ni,Mn,Fe,Zn
10Bh_x1_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_x1_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_x2_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_x2_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_x2_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_m_x_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_m_x_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_m_x_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_m_x1_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_m_x1_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_m_x1_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_m_x2_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_m_x2_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_m_x2_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_x_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_x_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_x_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_x1_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_x1_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_x1_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_x2_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_x2_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bv_x2_c,0.59,0.83,0.91,9.8,0.54,0.42
10Ch_m_x_a,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_m_x_b,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_m_x_c,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_m_x1_a,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_m_x1_b,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_m_x1_c,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_m_x2_a,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_m_x2_b,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_m_x2_c,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_x_a,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_x_b,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_x_c,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_x1_a,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_x1_b,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_x1_c,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_x2_a,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_x2_b,0.53,0.72,0.61,12.2,0.63,0.38
10Ch_x2_c,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_m_x_a,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_m_x_b,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_m_x_c,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_m_x1_a,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_m_x1_b,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_m_x1_c,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_m_x2_a,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_m_x2_b,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_m_x2_c,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_x_a,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_x_b,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_x_c,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_x1_a,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_x1_b,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_x1_c,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_x2_a,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_x2_b,0.53,0.72,0.61,12.2,0.63,0.38
10Cv_x2_c,0.53,0.72,0.61,12.2,0.63,0.38
11Ah_m_x_a,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_m_x_b,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_m_x_c,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_m_x1_a,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_m_x1_b,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_m_x1_c,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_m_x2_a,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_m_x2_b,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_m_x2_c,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_x_a,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_x_b,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_x_c,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_x1_a,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_x1_b,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_x1_c,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_x2_a,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_x2_b,0.27,0.47,0.5,7.39,1.21,0.77
11Ah_x2_c,0.27,0.47,0.5,7.39,1.21,0.77
11Av_m_x_a,0.27,0.47,0.5,7.39,1.21,0.77
11Av_m_x_b,0.27,0.47,0.5,7.39,1.21,0.77
11Av_m_x_c,0.27,0.47,0.5,7.39,1.21,0.77
11Av_m_x1_a,0.27,0.47,0.5,7.39,1.21,0.77
11Av_m_x1_b,0.27,0.47,0.5,7.39,1.21,0.77
11Av_m_x1_c,0.27,0.47,0.5,7.39,1.21,0.77
11Av_m_x2_a,0.27,0.47,0.5,7.39,1.21,0.77
11Av_m_x2_b,0.27,0.47,0.5,7.39,1.21,0.77
11Av_m_x2_c,0.27,0.47,0.5,7.39,1.21,0.77
11Av_x_a,0.27,0.47,0.5,7.39,1.21,0.77
11Av_x_b,0.27,0.47,0.5,7.39,1.21,0.77
11Av_x_c,0.27,0.47,0.5,7.39,1.21,0.77
11Av_x1_a,0.27,0.47,0.5,7.39,1.21,0.77
11Av_x1_b,0.27,0.47,0.5,7.39,1.21,0.77
11Av_x1_c,0.27,0.47,0.5,7.39,1.21,0.77
11Av_x2_a,0.27,0.47,0.5,7.39,1.21,0.77
11Av_x2_b,0.27,0.47,0.5,7.39,1.21,0.77
11Av_x2_c,0.27,0.47,0.5,7.39,1.21,0.77
11Bh_m_x_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_m_x_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_m_x_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_m_x1_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_m_x1_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_m_x1_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_m_x2_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_m_x2_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_m_x2_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_x_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_x_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_x_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_x1_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_x1_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_x1_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_x2_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_x2_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bh_x2_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_m_x_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_m_x_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_m_x_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_m_x1_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_m_x1_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_m_x1_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_m_x2_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_m_x2_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_m_x2_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_x_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_x_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_x_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_x1_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_x1_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_x1_c,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_x2_a,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_x2_b,0.2,0.53,0.56,6.81,1.3,0.96
11Bv_x2_c,0.2,0.53,0.56,6.81,1.3,0.96
12Ah_m_x_a,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_m_x_b,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_m_x_c,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_m_x1_a,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_m_x1_b,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_m_x1_c,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_m_x2_a,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_m_x2_b,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_m_x2_c,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_x_a,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_x_b,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_x_c,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_x1_a,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_x1_b,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_x1_c,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_x2_a,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_x2_b,0.29,1.7,1.99,38.94,78.21,7.27
12Ah_x2_c,0.29,1.7,1.99,38.94,78.21,7.27
12Av_m_x_a,0.29,1.7,1.99,38.94,78.21,7.27
12Av_m_x_b,0.29,1.7,1.99,38.94,78.21,7.27
12Av_m_x_c,0.29,1.7,1.99,38.94,78.21,7.27
12Av_m_x1_a,0.29,1.7,1.99,38.94,78.21,7.27
12Av_m_x1_b,0.29,1.7,1.99,38.94,78.21,7.27
12Av_m_x1_c,0.29,1.7,1.99,38.94,78.21,7.27
12Av_m_x2_a,0.29,1.7,1.99,38.94,78.21,7.27
12Av_m_x2_b,0.29,1.7,1.99,38.94,78.21,7.27
12Av_m_x2_c,0.29,1.7,1.99,38.94,78.21,7.27
12Av_x_a,0.29,1.7,1.99,38.94,78.21,7.27
12Av_x_b,0.29,1.7,1.99,38.94,78.21,7.27
12Av_x_c,0.29,1.7,1.99,38.94,78.21,7.27
12Av_x1_a,0.29,1.7,1.99,38.94,78.21,7.27
12Av_x1_b,0.29,1.7,1.99,38.94,78.21,7.27
12Av_x1_c,0.29,1.7,1.99,38.94,78.21,7.27
12Av_x2_a,0.29,1.7,1.99,38.94,78.21,7.27
12Av_x2_b,0.29,1.7,1.99,38.94,78.21,7.27
12Av_x2_c,0.29,1.7,1.99,38.94,78.21,7.27
12Bh_m_x_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_m_x_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_m_x_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_m_x1_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_m_x1_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_m_x1_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_m_x2_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_m_x2_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_m_x2_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_x_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_x_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_x_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_x1_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_x1_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_x1_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_x2_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_x2_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bh_x2_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_m_x_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_m_x_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_m_x_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_m_x1_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_m_x1_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_m_x1_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_m_x2_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_m_x2_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_m_x2_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_x_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_x_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_x_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_x1_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_x1_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_x1_c,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_x2_a,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_x2_b,0.4,1.91,2.82,50.33,88.64,6.92
12Bv_x2_c,0.4,1.91,2.82,50.33,88.64,6.92
13h_m_x_a,0.53,0.57,1.73,17.42,12.08,0.27
13h_m_x_b,0.53,0.57,1.73,17.42,12.08,0.27
13h_m_x_c,0.53,0.57,1.73,17.42,12.08,0.27
13h_m_x1_a,0.53,0.57,1.73,17.42,12.08,0.27
13h_m_x1_b,0.53,0.57,1.73,17.42,12.08,0.27
13h_m_x1_c,0.53,0.57,1.73,17.42,12.08,0.27
13h_m_x2_a,0.53,0.57,1.73,17.42,12.08,0.27
13h_m_x2_b,0.53,0.57,1.73,17.42,12.08,0.27
13h_m_x2_c,0.53,0.57,1.73,17.42,12.08,0.27
13h_x_a,0.53,0.57,1.73,17.42,12.08,0.27
13h_x_b,0.53,0.57,1.73,17.42,12.08,0.27
13h_x_c,0.53,0.57,1.73,17.42,12.08,0.27
13h_x1_a,0.53,0.57,1.73,17.42,12.08,0.27
13h_x1_b,0.53,0.57,1.73,17.42,12.08,0.27
13h_x1_c,0.53,0.57,1.73,17.42,12.08,0.27
13h_x2_a,0.53,0.57,1.73,17.42,12.08,0.27
13h_x2_b,0.53,0.57,1.73,17.42,12.08,0.27
13h_x2_c,0.53,0.57,1.73,17.42,12.08,0.27
13v_m_x_a,0.53,0.57,1.73,17.42,12.08,0.27
13v_m_x_b,0.53,0.57,1.73,17.42,12.08,0.27
13v_m_x_c,0.53,0.57,1.73,17.42,12.08,0.27
13v_m_x1_a,0.53,0.57,1.73,17.42,12.08,0.27
13v_m_x1_b,0.53,0.57,1.73,17.42,12.08,0.27
13v_m_x1_c,0.53,0.57,1.73,17.42,12.08,0.27
13v_m_x2_a,0.53,0.57,1.73,17.42,12.08,0.27
13v_m_x2_b,0.53,0.57,1.73,17.42,12.08,0.27
13v_m_x2_c,0.53,0.57,1.73,17.42,12.08,0.27
13v_x_a,0.53,0.57,1.73,17.42,12.08,0.27
13v_x_b,0.53,0.57,1.73,17.42,12.08,0.27
13v_x_c,0.53,0.57,1.73,17.42,12.08,0.27
13v_x1_a,0.53,0.57,1.73,17.42,12.08,0.27
13v_x1_b,0.53,0.57,1.73,17.42,12.08,0.27
13v_x1_c,0.53,0.57,1.73,17.42,12.08,0.27
13v_x2_a,0.53,0.57,1.73,17.42,12.08,0.27
13v_x2_b,0.53,0.57,1.73,17.42,12.08,0.27
13v_x2_c,0.53,0.57,1.73,17.42,12.08,0.27
